uri,cid,created_at,text,author_handle,author_did,author_display_name,like_count,repost_count,reply_count,quote_count,langs,hashtags,mention_dids,links,reply_parent_uri,reply_root_uri,source
at://did:plc:t2lqgpqt4mtvfcebjzxjx4d5/app.bsky.feed.post/3mnkaupiy2s2y,bafyreibuhlxomghhlaqxiulmqd5g7ztoqr7oh6sddtgfkdrh2mphqt2mzi,2026-06-05 13:33:38.558000+00:00,"La Ferrari Luce ha un design anomimo e costa 500.000€, il triplo di una Tesla. Va anche più piano.
Sono quindi ammirato dal redattore di Linkiesta che ne fa un'apologia e una bandiera, dribblando le vere critiche e confutando quelle che nessuno ha fatto.

Linkiesta.it share.google/qAkb2RtEiyL3...",rollino23.bsky.social,did:plc:t2lqgpqt4mtvfcebjzxjx4d5,Lorenzo Lume,0,0,0,0,it,,,"https://Linkiesta.it,https://share.google/qAkb2RtEiyL3jBCvL",,,bluesky
at://did:plc:57cn4fxtz4x6js2g7aev4yvh/app.bsky.feed.post/3mnk4zclduk23,bafyreihlvwf52nt7luq7lasn3di64op4a75iau6ws5skackchfve7xafie,2026-06-05 12:24:37.809000+00:00,"Atualizei o post dedicado ao novo Ferrari Luce. #ferrariluce
www.4rodas1volante.com/2026/05/novo...",4rodas1volante.bsky.social,did:plc:57cn4fxtz4x6js2g7aev4yvh,4rodas1volante,0,0,0,0,pt,ferrariluce,,https://www.4rodas1volante.com/2026/05/novo-ferrari-luce-apresentado.html,,,bluesky
at://did:plc:atwmo53rgb7e4kuumibwshoj/app.bsky.feed.post/3mnjx5cc2zx2f,bafyreidcij2jvjrps5nyz37565atughd2qkxfikqik2kqgg2l7kw77axtm,,"#Ferrari Luce, arriva la prima elettrica della casa | Robb Report Italia #auto-elettrica #zero-emissioni",robbreport.it,did:plc:atwmo53rgb7e4kuumibwshoj,Robb Report Italia,0,0,0,0,it,"auto-elettrica,ferrari,zero-emissioni",,,,,bluesky
at://did:plc:5qvaargp27xr6jhs4fu45y57/app.bsky.feed.post/3mnjoqhqgcf2k,bafyreibuzl7fxjiwcaw3glg6aemurizl3hqjiprgxanwtyykukvq5lcs7q,2026-06-05 08:09:08.807191+00:00,Ferrari Luce decepciona até ex-chefe e faz ações caírem,valoreconomico-bot.bsky.social,did:plc:5qvaargp27xr6jhs4fu45y57,Valor Econômico Bot,0,0,0,0,en,,,,,,bluesky
at://did:plc:6oue7bcx5zgbpkl5upsuadwt/app.bsky.feed.post/3mnjntdmmkz2f,bafyreidbxore72q6ro5xdnukvc5siz2elgzamhefrfus3ioax4hzft3umy,,"Audi tackles Ferrari Luce fever with the hybrid Nuvolari, it’s fastest and beefiest car ever

Audi has just pulled the wraps off the Nuvolari, its first hybrid supercar, and the numbers are genuinely hard to comprehend. Named after Tazio Nuvolari, one of motorsport’s most iconic figures, the car…",articleweblog.bsky.social,did:plc:6oue7bcx5zgbpkl5upsuadwt,,1,0,2,0,,,,,,,bluesky
at://did:plc:szaob6s2hqj7gazbkfae5zxg/app.bsky.feed.post/3mnjmfppgli2g,bafyreibboyehwgme2rtqzkchluaqnwrl34nzc5eefppx7qyj4hykcxe74m,,#Hamilton sulla #Ferrari #Luce: prima esita poi ne esalta le sensazioni,formula1.it,did:plc:szaob6s2hqj7gazbkfae5zxg,FWM - Formula1.it,0,0,0,0,,"hamilton,ferrari,luce",,,,,bluesky
at://did:plc:nu3fzyzlubjhhvck6znioopl/app.bsky.feed.post/3mnjm3axbyk24,bafyreiafn2erjlbvbnhqwzgkimajdpnd2n6ipaal35kaq4u42yggretuo4,2026-06-05 07:21:29.603000+00:00,Електромобіль Ferrari Luce отримав перший тюнинг-кіт - autogeek.com.ua/elektromobil...,autogeek.bsky.social,did:plc:nu3fzyzlubjhhvck6znioopl,AUTOGEEK ⚡️🚙,0,0,0,0,uk,,,https://autogeek.com.ua/elektromobil-ferrari-luce-otrymav-pershyj-tyunyng-kit/,,,bluesky
at://did:plc:pqusgg62f2lkh3lvg6ntpryr/app.bsky.feed.post/3mnjfvoxgec2t,bafyreif57zglax7zfxqbueuhevpy4rt2vnmr3osnyv6nzhvop63weu5u5a,2026-06-05 05:31:00.510000+00:00,yesterday's vergecast episode has a collection of people calling in to say the ferrari luce looks fine or in some cases good and if you're out there i want all of you to know you're idiots and it's a bad looking car no offence,rebecca.is.vgay.fyi,did:plc:pqusgg62f2lkh3lvg6ntpryr,rebecca swift 🛴💨,1,0,2,0,en,,,,,,bluesky
at://did:plc:nwkrkftvcgxmclnalleuymya/app.bsky.feed.post/3mnjdkbayi22m,bafyreic7lndcgdcuf3hokrpyt4axo6y5lxsagwchru2npkgvsr3jiffn34,2026-06-05 04:48:49.561000+00:00,"""Tradition is not the worship of ashes, tradition is the preservation of fire."" Non-car journo Cleo Abrams extracts some insights into the design of the ""capsule collection"" Ferrari Luce from Jony Ive and Flavio Manzoni, Ferrari design chief.

youtu.be/K-o0r2zSgCE?...",forota.bsky.social,did:plc:nwkrkftvcgxmclnalleuymya,S. Kamau Mucoki,1,1,2,0,en,,,https://youtu.be/K-o0r2zSgCE?si=qQ-br6D6MkUqZVVq,,,bluesky
at://did:plc:jnet3np2hj5dna2kvghyx2en/app.bsky.feed.post/3mnj4e342ex26,bafyreibpwnfkoly677lqkz63rjncp3yi2nze3eej5y4h5piuchem3teza4,,"Audi Nuvolari: alemães buscam na Itália a alma para hipercarro de 1.001 cv

Enquanto Maranello se rende ao minimalismo do criador do iPhone no polêmico Ferrari Luce, a Audi faz o caminho inverso:…

https://guiadocarro.net.br/audi-nuvolari-alemaes-buscam-na-italia-a-alma-para-hipercarro-de-1-001-cv/",guiadocarro.bsky.social,did:plc:jnet3np2hj5dna2kvghyx2en,Guia do Carro,2,1,1,1,,,,https://guiadocarro.net.br/audi-nuvolari-alemaes-buscam-na-italia-a-alma-para-hipercarro-de-1-001-cv/,,,bluesky
